fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
2012203,2012203,2012203,2012203,1,1,2,1,1,2,2011203,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
2012204,2012204,2012204,2012204,1,1,2,1,1,2,2011204,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
2012205,2012205,2012205,2012205,1,1,2,1,1,2,2011205,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
2012206,2012206,2012206,2012206,1,1,2,1,1,2,2011206,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
2012301,2012301,2012301,2012301,1,1,1,1,1,2,2011301,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
2012302,2012302,2012302,2012302,1,1,1,1,1,2,2011302,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
2012303,2012303,2012303,2012303,1,1,1,1,1,2,2011303,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
2012304,2012304,2012304,2012304,1,1,1,1,1,2,2011304,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
2012305,2012305,2012305,2012305,1,1,1,1,1,2,2011305,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
2012306,2012306,2012306,2012306,1,1,1,1,1,2,2011306,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
2012401,2012401,2012401,2012401,1,1,1,1,1,1,2011301,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
2012402,2012402,2012402,2012402,1,1,1,1,1,1,2011302,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
2012403,2012403,2012403,2012403,1,1,1,1,1,1,2011303,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
2012404,2012404,2012404,2012404,1,1,1,1,1,1,2011304,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
